64 168 0 , 1416 2567 0
64 176 0 , 1419 2665 0
64 184 0 , 1421 2753 0
64 192 0 , 1424 2849 0
64 200 0 , 1426 2936 0
64 208 0 , 1429 3032 0
64 216 0 , 1432 3118 0
64 224 0 , 1434 3212 0
64 232 0 , 1437 3296 0
64 240 0 , 1439 3388 0
64 248 0 , 1442 3472 0
72 0 0 , 1460 444 0
72 8 0 , 1462 549 0
72 16 0 , 1464 662 0
72 24 0 , 1466 765 0
72 32 0 , 1469 878 0
72 40 0 , 1471 981 0
72 48 0 , 1473 1091 0
72 56 0 , 1475 1191 0
72 64 0 , 1477 1299 0
72 72 0 , 1479 1397 0
72 80 0 , 1482 1504 0
72 88 0 , 1483 1599 0
72 96 0 , 1486 1704 0
72 104 0 , 1488 1798 0
72 112 0 , 1490 1900 0
72 120 0 , 1493 1992 0
72 128 0 , 1495 2092 0
72 136 0 , 1497 2183 0
72 144 0 , 1499 2283 0
72 152 0 , 1502 2372 0
72 160 0 , 1504 2471 0
72 168 0 , 1507 2560 0
72 176 0 , 1509 2657 0
72 184 0 , 1511 2745 0
72 192 0 , 1514 2841 0
72 200 0 , 1516 2928 0
72 208 0 , 1518 3024 0
72 216 0 , 1521 3109 0
72 224 0 , 1523 3202 0
72 232 0 , 1525 3286 0
72 240 0 , 1527 3378 0
72 248 0 , 1529 3460 0
80 0 0 , 1567 451 0
80 8 0 , 1568 554 0
80 16 0 , 1570 667 0
80 24 0 , 1571 770 0
80 32 0 , 1573 882 0
80 40 0 , 1575 983 0
80 48 0 , 1576 1093 0
80 56 0 , 1578 1192 0
80 64 0 , 1579 1299 0
80 72 0 , 1582 1396 0
80 80 0 , 1583 1503 0
80 88 0 , 1585 1597 0
80 96 0 , 1587 1702 0
80 104 0 , 1588 1795 0
80 112 0 , 1590 1896 0
80 120 0 , 1592 1987 0
80 128 0 , 1594 2087 0
80 136 0 , 1596 2177 0
80 144 0 , 1598 2276 0
80 152 0 , 1600 2365 0
80 160 0 , 1602 2464 0
80 168 0 , 1604 2551 0
80 176 0 , 1606 2648 0
80 184 0 , 1607 2736 0
80 192 0 , 1610 2831 0
80 200 0 , 1612 2918 0
80 208 0 , 1614 3011 0
80 216 0 , 1616 3097 0
80 224 0 , 1618 3190 0
80 232 0 , 1620 3274 0
80 240 0 , 1622 3365 0
80 248 0 , 1623 3448 0
88 0 0 , 1662 455 0
88 8 0 , 1663 558 0
88 16 0 , 1665 671 0
88 24 0 , 1665 772 0
88 32 0 , 1667 884 0
88 40 0 , 1668 986 0
88 48 0 , 1669 1094 0
88 56 0 , 1670 1192 0
88 64 0 , 1672 1299 0
88 72 0 , 1673 1396 0
88 80 0 , 1674 1501 0
88 88 0 , 1676 1596 0
88 96 0 , 1677 1699 0
88 104 0 , 1678 1792 0
88 112 0 , 1680 1892 0
88 120 0 , 1681 1984 0
88 128 0 , 1683 2083 0
88 136 0 , 1685 2173 0
88 144 0 , 1686 2271 0
88 152 0 , 1688 2360 0
88 160 0 , 1690 2457 0
88 168 0 , 1691 2544 0
88 176 0 , 1693 2641 0
88 184 0 , 1694 2728 0
88 192 0 , 1696 2822 0
88 200 0 , 1698 2908 0
88 208 0 , 1700 3002 0
88 216 0 , 1702 3087 0
88 224 0 , 1704 3180 0
88 232 0 , 1705 3263 0
88 240 0 , 1707 3354 0
88 248 0 , 1708 3436 0
96 0 0 , 1767 461 0
96 8 0 , 1768 675 0
96 16 0 , 1769 562 0
96 24 0 , 1770 775 0
96 32 0 , 1770 887 0
96 40 0 , 1770 987 0
96 48 0 , 1771 1095 0
96 56 0 , 1772 1193 0
96 64 0 , 1773 1299 0
96 72 0 , 1774 1395 0
96 80 0 , 1774 1500 0
96 88 0 , 1775 1594 0
96 96 0 , 1776 1696 0
96 104 0 , 1777 1789 0
96 112 0 , 1778 1889 0
96 120 0 , 1779 1979 0
96 128 0 , 1780 2078 0
96 136 0 , 1781 2168 0
96 144 0 , 1783 2266 0
96 152 0 , 1784 2354 0
96 160 0 , 1786 2450 0
96 168 0 , 1787 2537 0
96 176 0 , 1789 2633 0
96 184 0 , 1790 2719 0
96 192 0 , 1791 2813 0
96 200 0 , 1793 2898 0
96 208 0 , 1795 2992 0
96 216 0 , 1796 3077 0
96 224 0 , 1798 3169 0
96 232 0 , 1799 3252 0
96 240 0 , 1800 3341 0
96 248 0 , 1802 3424 0
